Website ID;Website-Name;Category Name;Category Comment;Seiten-ID;Seitenname;Platzierungs ID;Platzierungsname;"Platzierungsgr&#246;&#223;e";Platzierungsposition;Platzierungstyp;Platzierungsstatus;Kommission CPM;Kommission Typ;Kommission CPC;Kommission Typ;Contact name;Kontakt-E-Mail;"Bannergr&#246;&#223;en-ID";Alias;Ext.-ID;Mediatype ID;Platzierungsklasse
1179264;bzbasel.ch_2015;;;783712;Home;5720242;Home Content Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720191;Ressort Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720192;Artikel Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720198;Static Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720200;Artikel Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720210;Ressort Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720211;Home Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720217;Ressort Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720230;Static Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720236;Home Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720240;Artikel Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720243;Home Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720244;Static Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720199;Artikel Ad SnippedPopular Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720202;Artikel Ad Snipped1 Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720212;Artikel Ad Snipped2 Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720239;Artikel Ad SnippedRelated Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783719;Artikel;5720292;Artikel Layer/Interstitial Mobile;1 x 1;default;default;active;;;;; ;;16;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720248;Ressort Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720263;Home Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783718;Static;5720290;Static Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783719;Artikel;5720300;Artikel Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720260;Ressort Rectangle Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720274;Home Escalator Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720280;Home Rectangle Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783719;Artikel;5720283;Artikel Rectangle Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720299;Ressort Escalator Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720245;Ressort Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783719;Artikel;5720247;Artikel Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720250;Home Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783718;Static;5720251;Static Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783719;Artikel;5720253;Artikel Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783719;Artikel;5720256;Artikel Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720257;Ressort Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720259;Home Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783718;Static;5720264;Static Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783718;Static;5720265;Static Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720288;Ressort Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720294;Home Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783717;Home;5720246;Home Rectangle Tablet;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179265;solothurnerzeitung.ch_2015;;;783716;Ressort;5720268;Ressort Rectangle Tablet;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
